player0_position_x,player0_position_y,player0_position_z,player0_position_a,player1_position_x,player1_position_y,player1_position_z,player1_position_a,order0,order1
13.47,0,4.98,90.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.95,0,4.98,90.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.31,0,4.98,90.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.67,0,4.98,109.10,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.93,0,4.61,173.20,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.93,0,4.25,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.93,0,3.89,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.93,0,3.53,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.93,0,3.17,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.93,0,2.81,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.93,0,2.33,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.91,0,2.2,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.89,0,2.2,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.89,0,2.2,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.89,0,2.2,218.20,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.41,0,2.2,270.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.05,0,2.2,270.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.76,0,2.37,315.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.42,0,2.71,315.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.25,0,3,353.20,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.27,0,3.35,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.27,0,3.71,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.27,0,4.07,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.27,0,4.43,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.27,0,4.91,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.27,0,5,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.53,0,5,64.10,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.77,0,5,90.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.13,0,5,70.90,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.5,0,5.25,45.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.67,0,5.54,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.67,0,5.9,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.67,0,6.38,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.67,0,6.74,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.58,0,7.07,315.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.25,0,7.41,315.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
14.08,0,7.58,315.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.74,0,7.92,315.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.48,0,8.17,315.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
