,player0_position_x,player0_position_y,player0_position_z,player0_position_a,player1_position_x,player1_position_y,player1_position_z,player1_position_a,order0,order1,player0_int_position_x,player0_int_position_z,player0_int_position_a,player1_int_position_x,player1_int_position_z,player1_int_position_a,time
0,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,0
1,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,1
2,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,2
3,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,3
4,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,4
5,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,5
6,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,6
7,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,7
8,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,8
9,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,9
10,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,10
11,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,11
12,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,12
13,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,13
14,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,14
15,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,15
16,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,16
17,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,17
18,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,18
19,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,19
20,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,20
21,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,21
22,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,22
23,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,23
24,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,24
25,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,25
26,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,26
27,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,27
28,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,28
29,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,29
30,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,30
31,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,31
32,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,32
33,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,33
34,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,34
35,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,35
36,15.73,0,8.6,0.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,0,1,6,0,36
37,15.97,0,8.6,76.39,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,9,6,1,1,6,0,37
38,16.33,0,8.6,90.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,10,6,1,1,6,0,38
39,16.33,0,8.6,90.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,10,6,1,1,6,0,39
40,16.33,0,8.6,90.0,5.8,0,8.6,0.0,Sushi_Fish,Sushi_Fish,10,6,1,1,6,0,40
